Citation,Article Title,DOI,Wetland name,System,Class,Regime,Artificial,CW Water Chem,CW Soil ,Additional Modifiers,Source,Number Pools,Landuse,Nutrient Event Sampling,Category,Data_year first year of sampling,Location,Watershed Area (km^2),Lat,Long,Frequency,Age (years),Years monitored,Surface.area,What is P measured in?,How,Load_method,Notes,Article Title,TPloading g.m2.y,%retention,TPretention g.m2.y,Wetland name,Wetland.name,clusters8
Mereta 2020,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,,Boye Dry Season,Riverine - Lower Perennial,Floodplain meadow,NA,N,No data,No data,WWT,Stream/River,NA,Urban,N,Floodplain,2011,Ethiopia,500,7.616858108,36.76658086,seasonally,NA,1,90,Water,Constant,Constant,,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,NA,NA,144.36,Boye Dry Season,Boye Dry Season,4
Mereta 2020,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,10.3389/fenvs.2020.00122,Awetu Dry Season,Riverine - Lower Perennial,Floodplain meadow,NA,N,No data,No data,WWT,Stream/River,NA,Urban,N,Floodplain,2011,Ethiopia,500,7.616858108,36.76658086,seasonally,NA,1,12,Water,Constant,Constant,Dont report loading (but defniitely did collect it,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,NA,NA,1496.5,Awetu Dry Season,Awetu Dry Season,4
Mereta 2020,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,,Awetu Wet Season,Riverine - Lower Perennial,Floodplain meadow,NA,N,No data,No data,WWT,Stream/River,NA,Urban,N,Floodplain,2011,Ethiopia,500,7.616858108,36.76658086,seasonally,NA,1,12,Water,Constant,Constant,,Sediment and Nutrient Retention Capacity of Natural Riverine Wetlands in Southwest Ethiopia,NA,NA,NA,Awetu Wet Season,Awetu Wet Season,4
Mesquita 2018,Effectiveness and Temporal Variation of a Full-Scale Horizontal Constructed Wetland in Reducing Nitrogen and Phosphorus from Domestic Wastewater,10.3390/chemengineering2010003,Sarnadas Rodão sewage treatment plant,Palustrine,Emergent,Saturated,Y,No data,Mineral,WWT,Wastewater,NA,Urban,N,Flow through,2006,Portugal,,39.7584,-7.64308,monthly,6,1,0.112,Water,Constant,Constant,,Effectiveness and Temporal Variation of a Full-Scale Horizontal Constructed Wetland in Reducing Nitrogen and Phosphorus from Domestic Wastewater,47.45,23,10.91,Sarnadas Rodão sewage treatment plant,Sarnadas Rodão sewage treatment plant,1
Meuleman 2003,Water and mass budgets of a vertical-flow constructed wetland used for wastewater treatment,10.1016/S0925-8574(03)00002-8,Lauwersoog CW,Palustrine,Emergent,Permanently Flooded,Y,Neutral,Mixed,WWT,Wastewater,NA,Urban,N,Flow through,1991,Netherlands,,53.40572363,6.316327258,biweekly,16,1,1.3,Water,Constant,Constant,,Water and mass budgets of a vertical-flow constructed wetland used for wastewater treatment,3.35,24,0.8,Lauwersoog CW,Lauwersoog CW,1
Micek 2020,Technological Reliability and Efficiency of Wastewater Treatment in Two Hybrid Constructed Wetlands in the Roztocze National Park (Poland),,Wetland No. 2,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,NA,Urban,N,Flow through,2017,Poland,,50.553,22.985,seasonally,3,2,0.0096,Water,Constant,Constant,,Technological Reliability and Efficiency of Wastewater Treatment in Two Hybrid Constructed Wetlands in the Roztocze National Park (Poland),73,95,69.35,Wetland No. 2,Wetland No. 2,1
Micek 2020,Technological Reliability and Efficiency of Wastewater Treatment in Two Hybrid Constructed Wetlands in the Roztocze National Park (Poland),10.3390/w12123435,Wetland No. 1,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,NA,Urban,N,Flow through,2017,Poland,,50.612,22.975,seasonally,3,2,0.0048,Water,Constant,Constant,,Technological Reliability and Efficiency of Wastewater Treatment in Two Hybrid Constructed Wetlands in the Roztocze National Park (Poland),83.95,91.3,76.65,Wetland No. 1,Wetland No. 1,1
Mitsch 1995,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,10.2307/1941991,Low Flow 4,Palustrine,Emergent,Permanently Flooded,Y,No data,,Pumped,Stream/River,4,Floodplain,N,Flow through,1990,"US, Illinois",0.43,37.03333,115.2667,weekly,2,3,2.34,Water,Modelled,other,STELLA modelling,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,55,81,44.85,Low Flow 4,Low Flow 4,2
Mitsch 1995,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,,Low Flow 6,Palustrine,Emergent,Permanently Flooded,Y,No data,,Pumped,Stream/River,,Floodplain,N,Flow through,1990,"US, Illinois",1.04,37.03333,115.2667,weekly,2,3,3.45,Water,Modelled,other,STELLA modelling,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,71,99,76.75,Low Flow 6,Low Flow 6,2
Mitsch 1995,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,,High Flow 5,Palustrine,Emergent,Permanently Flooded,Y,No data,,Pumped,Stream/River,4,Floodplain,N,Flow through,1990,"US, Illinois",1.23,37.03333,115.2667,weekly,2,3,1.87,Water,Modelled,other,STELLA modelling,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,218,63,184.82,High Flow 5,High Flow 5,2
Mitsch 1995,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,,High Flow 3,Palustrine,Emergent,Permanently Flooded,Y,No data,,Pumped,Stream/River,4,Floodplain,N,Flow through,1990,"US, Illinois",1.65,37.03333,115.2667,weekly,2,3,2.33,Water,Modelled,other,STELLA modelling,PHOSPHORUS RETENTION IN CONSTRUCTED FRESH-WATER RIPARIAN MARSHES,229,63,206.37,High Flow 3,High Flow 3,2
Mitsch 2014,"Validation of the ecosystem services of created wetlands: Two decades of plant succession, nutrient retention, and carbon sequestration in experimental riverine marshes",10.1016/j.ecoleng.2014.09.108,Planted Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,Mineral,Pumped,Stream/River,2,Floodplain,N,Flow through,1994,"US, Ohio",NA,40.02031,-83.0192,weekly,17,17,2,Water,Constant,Constant,Technically 2 wetlands but they don't report enough data to have values for both of them.,"Validation of the ecosystem services of created wetlands: Two decades of plant succession, nutrient retention, and carbon sequestration in experimental riverine marshes",5.62,42.7,2.4,Planted Wetland,Planted Wetland,2
Mitsch 2014,"Validation of the ecosystem services of created wetlands: Two decades of plant succession, nutrient retention, and carbon sequestration in experimental riverine marshes",,Unplanted Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,Mineral,Pumped,Stream/River,2,Floodplain,N,Flow through,1994,"US, Ohio",NA,40.0201,-83.018,weekly,17,17,2,Sediment,NA,NA,Technically 2 wetlands but they don't report enough data to have values for both of them.,"Validation of the ecosystem services of created wetlands: Two decades of plant succession, nutrient retention, and carbon sequestration in experimental riverine marshes",NA,NA,NA,Unplanted Wetland,Unplanted Wetland,2
Montgomery 2008,"Prairie Wolf Slough Wetlands Demonstration Project: A Case Study Illustrating the Need for Incorporating Soil and Water Quality Assessment in Wetland Restoration Planning, Design and Monitoring",10.1111/j.1526-100X.2008.00492.x,Prairie Wolf Slough,Palustrine,Emergent,Semipermanently Flooded,N,Neutral,No data,,Stream/River,,Agriculture,N,Flow through,1998,"US, Illinois",0.98,42.1977664,-87.85390011,bimonthly,4,5,10,Water,Constant,Constant,Not completely clear if it's monthly or yearly kg of P,"Prairie Wolf Slough Wetlands Demonstration Project: A Case Study Illustrating the Need for Incorporating Soil and Water Quality Assessment in Wetland Restoration Planning, Design and Monitoring",1.13,-392,-4.42,Prairie Wolf Slough,Prairie Wolf Slough,2
Montgomery 2021,A 16-year investigation of legacy phosphorus discharge from Prairie Wolf Slough: a wetland restored on a former farmed field,10.1111/rec.13340,Prairie Wolf Slough Wetland Demonstration Pro-ject,Palustrine,Emergent,Intermittently Flooded,N,No data,Mineral,,Runoff,4,Agriculture,N,Flow through,1998,"US, Illinois",0.386,42.29155421,-87.93884209,bimonthly,4,16,14,Water,NA,Constant,"Not the best data on inflow volumes, and very long time period these averages are from.",A 16-year investigation of legacy phosphorus discharge from Prairie Wolf Slough: a wetland restored on a former farmed field,0.03,-387.5,-0.11,Prairie Wolf Slough Wetland Demonstration Pro-ject,Prairie Wolf Slough Wetland Demonstration Pro-ject,3
Moustafa 1996,The response of a freshwater wetland to long-term ''low level'' nutrient loads - Marsh efficiency,10.1016/0925-8574(95)00063-1,Boney Marsh,Palustrine,Emergent,Semipermanently Flooded,Y,No data,No data,Pumped,Stream/River,NA,Floodplain,N,Flow through,1978,"US, Florida",,27.51071,-81.2094,biweekly,16,8,49,Water,Constant,Constant,,The response of a freshwater wetland to long-term ''low level'' nutrient loads - Marsh efficiency,0.48,75,0.36,Boney Marsh,Boney Marsh,2
Murray 2021,Source or sink? Quantifying beaver pond influence on non-point source pollutant transport in the Intermountain West,10.1016/j.jenvman.2021.112127,Beaver Pond Spring,Palustrine,Aquatic Bed,Permanently Flooded,N,Alkaline,Mixed,,Stream/River,1,Agriculture,N,Flow through,2018,"US, Utah",,41.83277587,-111.5852078,monthly,8,1,,Water,Constant,Constant,Missing a lot of data. probably shouldn't use,Source or sink? Quantifying beaver pond influence on non-point source pollutant transport in the Intermountain West,NA,NA,-5,Beaver Pond Spring,Beaver Pond Spring,2
Murray 2021,Source or sink? Quantifying beaver pond influence on non-point source pollutant transport in the Intermountain West,,Beaver Pond lifetime,Palustrine,Aquatic Bed,Permanently Flooded,N,Alkaline,Mixed,,Stream/River,1,Agriculture,N,Flow through,2010,"US, Utah",,41.83277587,-111.5852078,sediment,1,8,,Sediment,NA,NA,,Source or sink? Quantifying beaver pond influence on non-point source pollutant transport in the Intermountain West,NA,NA,13,Beaver Pond lifetime,Beaver Pond lifetime,2
Mustafa 2009,Long-term performance of a representative integrated constructed wetland treating farmyard runoff,10.1016/j.ecoleng.2008.12.008,ICW 11,Palustrine,Emergent,Permanently Flooded,N,Neutral,Mineral,WWT,Wastewater,4,Agriculture,N,Flow through,2001,Ireland,0.005,52.19126892,-7.044476589,bimonthly,7,7,0.76,Water,Constant,Constant,Added as supplementary paper because the following paper used the data from it. Also allows comparison between sediment and water measurements of P storage,Long-term performance of a representative integrated constructed wetland treating farmyard runoff,19.66,94,16.52,ICW 11,ICW 11,3
Nairn 1999,Phosphorus removal in created wetland ponds receiving river overflow,,Olentangy River Wetland 1,Palustrine,Emergent,Intermittently Exposed,Y,Alkaline,No data,Pumped,Stream/River,1,Floodplain,N,Flow through,1994,"US, Ohio",NA,40.01697813,-83.01686422,weekly,1,1,1,Water,Constant,Constant,,Phosphorus removal in created wetland ponds receiving river overflow,NA,62,6.66,Olentangy River Wetland 1,Olentangy River Wetland 1,2
Nairn 1999,Phosphorus removal in created wetland ponds receiving river overflow,,Olentangy River Wetland 2,Palustrine,Emergent,Intermittently Exposed,Y,Alkaline,No data,Pumped,Stream/River,1,Floodplain,N,Flow through,1994,"US, Ohio",NA,40.01697813,-83.01686422,weekly,1,1,1,Water,Constant,Constant,,Phosphorus removal in created wetland ponds receiving river overflow,NA,58,7.74,Olentangy River Wetland 2,Olentangy River Wetland 2,2
Newman 1999,Seasonal performance of a wetland constructed to process dairy milkhouse wastewater in Connecticut,,Storr Campus NRCS Wetland,Palustrine,Emergent,Permanently Flooded,Y,Neutral,Mineral,WWT,Wastewater,3,Agriculture,N,Flow through,1994,"US, Connecticut",NA,41.81748,-72.2524,weekly,3,3,0.04,Water,ISCO,ISCO,,Seasonal performance of a wetland constructed to process dairy milkhouse wastewater in Connecticut,68.62,68,46.66,Storr Campus NRCS Wetland,Storr Campus NRCS Wetland,1
Niswander 1995,"FUNCTIONAL-ANALYSIS OF A 2-YEAR-OLD CREATED IN-STREAM WETLAND - HYDROLOGY, PHOSPHORUS RETENTION, AND VEGETATION SURVIVAL AND GROWTH",10.1007/BF03160701,Franklin County Wetland,Palustrine,Emergent,Semipermanently Flooded,N,No data,No data,,Stream/River,2,Agriculture,Y,Flow through,1992,"US, Ohio",2.6,40.02559,82.9067,bimonthly,2,2,6.1,Water,Event Sampling,event,,"FUNCTIONAL-ANALYSIS OF A 2-YEAR-OLD CREATED IN-STREAM WETLAND - HYDROLOGY, PHOSPHORUS RETENTION, AND VEGETATION SURVIVAL AND GROWTH",17.8,16,2.85,Franklin County Wetland,Franklin County Wetland,2
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Mattponi,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,37.47708,-76.7785,daily,NA,6,2132,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,27,66,17.82,Mattponi,Mattponi,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Pocomoke,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,38.14131,-75.4678,daily,NA,5,3674,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,60,44,26.4,Pocomoke,Pocomoke,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Patuxent,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,38.4384,-76.6152,daily,NA,3,2856,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,48,59,28.32,Patuxent,Patuxent,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,10.1007/s10021-009-9253-5,Chickahominy,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,37.2378,-76.8799,daily,NA,3,4749,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,48,203,97.44,Chickahominy,Chickahominy,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Dragon Run,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,37.39458,-76.7034,daily,NA,2,1707,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,4,604,24.16,Dragon Run,Dragon Run,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Pamunkey,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,37.63034,-77.0912,daily,NA,2,1668,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,106,14,14.84,Pamunkey,Pamunkey,4
Noe 2009,Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,,Choptank,Riverine - Lower Perennial,Forested,Intermittently Flooded,N,No data,,,Stream/River,NA,Floodplain,NA,Floodplain,,US,NA,38.71778,-76.0026,daily,NA,1,307,Sediment,NA,NA,Input units are Mg/y (???),Retention of Riverine Sediment and Nutrient Loads by Coastal Plain Floodplains,14,16,2.24,Choptank,Choptank,4
Noe 2013,Hydrogeomorphology Influences Soil Nitrogen and Phosphorus Mineralization in Floodplain Wetlands,10.1007/s10021-012-9597-0,Difficult Run watershed,Riverine - Lower Perennial,Floodplain meadow,Intermittently Flooded,Y,No data,Mineral,,Stream/River,NA,Floodplain,N,Floodplain,2008,"US, Virginia",151,37.74951,-77.6905,monthly,NA,1,NA,In situ resin cores,NA,NA,"Monthly core incubations, this is the annual average",Hydrogeomorphology Influences Soil Nitrogen and Phosphorus Mineralization in Floodplain Wetlands,NA,NA,0.45,Difficult Run watershed,Difficult Run watershed,4
Oliver 2017,Influence of operational parameters on nutrient removal from eutrophic water in a constructed wetland,10.1007/s10750-016-3048-4,FWSCW,Palustrine,Emergent,Permanently Flooded,N,Alkaline,Mineral,,Lake,NA,Agriculture,Y,,2009,Spain,,39.36425791,-0.34641036,biweekly,1,3.5,4.8956,Water,Constant,Constant,,Influence of operational parameters on nutrient removal from eutrophic water in a constructed wetland,12.48,NA,0,FWSCW,FWSCW,3
Ontkean 2003,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",,Hilton Wetland,Palustrine,Emergent,Semipermanently Flooded,N,No data,No data,,Stream/River,1,Agriculture,N,Flow through,1999,Canada,71.92,50.8036814,-112.6489596,daily,NA,2,62,Water,ISCO,ISCO,In-stream wetland. High flow through. Interesting!,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",0.4,-254.98,-1.01,Hilton Wetland,Hilton Wetland,2
Ontkean 2003,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",,Hilton Wetland,Palustrine,Emergent,Semipermanently Flooded,N,No data,No data,,Stream/River,1,Agriculture,N,Flow through,1998,Canada,71.92,50.8036814,-112.6489596,daily,NA,2,62,Water,ISCO,ISCO,In-stream wetland. High flow through. Interesting!,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",0.71,-188.76,-1.34,Hilton Wetland,Hilton Wetland,2
Ontkean 2003,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",10.2166/wqrj.2003.022,Hilton Wetland,Palustrine,Emergent,Semipermanently Flooded,N,No data,No data,,Stream/River,1,Agriculture,N,Flow through,1997,Canada,71.92,50.8036814,-112.6489596,daily,NA,2,62,Water,ISCO,ISCO,In-stream wetland. High flow through. Interesting!,"Enhanced prairie wetland effects on surface water quality in Crowfoot Creek, Alberta",4.06,-4.16,-0.17,Hilton Wetland,Hilton Wetland,2
Oovel 2007,Schoolhouse wastewater purification in a LWA-filled hybrid constructed wetland in Estonia,10.1016/j.ecoleng.2006.07.010,Paistu Basic School Wetland,Palustrine,Emergent,Saturated,Y,No data,Mineral,WWT,Wastewater,2,Urban,N,Flow through,2003,Estonia,,58.24170056,25.59332257,monthly,2,2,0.0432,Water,Constant,Constant,Vertical subsurface flow,Schoolhouse wastewater purification in a LWA-filled hybrid constructed wetland in Estonia,24.82,88.6,21.9,Paistu Basic School Wetland,Paistu Basic School Wetland,1
Palmer-Fellgate 2011,Phosphorus release from sediments in a treatment wetland: Contrast between DET and EPC0 methodologies,10.1016/j.ecoleng.2010.12.024,South Finger Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,No data,Pumped,Wastewater,9,Agriculture,N,Flow through,2008,United Kingdom,,51.74152472,-2.401397834,event,13,1,0.49,Water,NA,NA,"Weird method, using DET probes. Basically measures diffusion into a gel over 24 hours. They also only measured ONCE.",Phosphorus release from sediments in a treatment wetland: Contrast between DET and EPC0 methodologies,NA,-58,NA,South Finger Wetland,South Finger Wetland,1
Pietro 2015,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",,STA-2 FW3,Palustrine,Aquatic Bed,Intermittently Exposed,Y,No data,Mixed,Pumped,Runoff,1,Wetland,N,Flow through,1999,"US, Florida",,26.44905928,-80.58066462,monthly,1,13,929,Water,Flow-weighted concentrations,flow-weighted,Repeat site be careful,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",1.25,82,1.03,STA-2 FW3,STA-2 FW3,2
Pietro 2015,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",,STA-3/4 FW3,Palustrine,Emergent,Intermittently Exposed,Y,No data,Mixed,Pumped,Runoff,2,Wetland,N,Flow through,2005,"US, Florida",,26.44905928,-80.58066462,monthly,1,7,1821,Water,Flow-weighted concentrations,flow-weighted,Repeat site be careful,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",0.61,77,0.47,STA-3/4 FW3,STA-3/4 FW3,3
Pietro 2015,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",,STA-3/4 FW2,Palustrine,Emergent,Intermittently Exposed,Y,No data,Mixed,Pumped,Runoff,2,Wetland,N,Flow through,2005,"US, Florida",,26.44905928,-80.58066462,monthly,1,7,2164,Water,Flow-weighted concentrations,flow-weighted,Repeat site be careful,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",0.67,75,0.5,STA-3/4 FW2,STA-3/4 FW2,3
Pietro 2015,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",,STA-3/4 FW1,Palustrine,Emergent,Intermittently Exposed,Y,No data,Mixed,Pumped,Runoff,2,Wetland,N,Flow through,2005,"US, Florida",,26.44905928,-80.58066462,monthly,1,7,2621,Water,Flow-weighted concentrations,flow-weighted,Repeat site be careful,"Comparison of long-term phosphorus removal performance of two large-scale constructed wetlands in South Florida, USA",0.78,80,0.62,STA-3/4 FW1,STA-3/4 FW1,3
Pomogyi 1993,NUTRIENT RETENTION BY THE KIS-BALATON WATER PROTECTION SYSTEM,10.1007/BF00007190,Kis-Balaton Water Protection System,Palustrine,Emergent,Permanently Flooded,Y,No data,No data,,Stream/River,,Floodplain,,Flow through,1986,Hungary,372,46.63989,17.15249,daily,1,2,1800,Water,Constant,Constant,,NUTRIENT RETENTION BY THE KIS-BALATON WATER PROTECTION SYSTEM,5.11,51,2.4,Kis-Balaton Water Protection System,Kis-Balaton Water Protection System,2
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,10.1016/j.geoderma.2013.12.008,Hankilaneva 1,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1992,Finland,100,63.97964951,25.52481172,bimonthly,18,1,8.9,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Hankilaneva 1,Hankilaneva 1,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Hankilaneva 2,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1992,Finland,222.8571,63.97964951,25.52481172,monthly,17,2,7.8,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Hankilaneva 2,Hankilaneva 2,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Luomaneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1998,Finland,114.2857,64.06199952,25.98472887,bimonthly,9,2,3.2,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Luomaneva,Luomaneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Savaloneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,2005,Finland,82.43243,64.35682978,25.51325327,monthly,4,2,6.1,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Savaloneva,Savaloneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Lumiaapa,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1996,Finland,186.2745,64.35682978,25.51325327,bimonthly,2,3,9.5,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,0.67,-120,-0.8,Lumiaapa,Lumiaapa,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Kapustaneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,2008,Finland,150,64.06199952,25.98472887,bimonthly,2,2,6.9,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Kapustaneva,Kapustaneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Pohjoinen Latvasuo,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1994,Finland,155.5556,64.35682978,25.51325327,monthly,2,2,2.8,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Pohjoinen Latvasuo,Pohjoinen Latvasuo,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Aujonneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,2009,Finland,103.5714,64.35682978,25.51325327,bimonthly,1,2,5.8,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Aujonneva,Aujonneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Kuljunneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,2009,Finland,87.87879,64.35682978,25.51325327,monthly,1,1,5.8,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Kuljunneva,Kuljunneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Isolamminneva,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,2010,Finland,39.02439,64.35682978,25.51325327,monthly,1,1,1.6,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Isolamminneva,Isolamminneva,3
Postila 2014,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,,Itasuo,Palustrine,Forested,Seasonally Flooded/Saturated,N,No data,Mixed,Peat extraction,Runoff,NA,Wetland,N,Flow through,1995,Finland,190.4762,64.35682978,25.51325327,weekly,1,1,12,Water,NA,NA,,Can treatment wetlands be constructed on drained peatlands for efficient purification of peat extraction runoff?,NA,NA,NA,Itasuo,Itasuo,3
Pu 2023,Long-term assessment on performance and seasonal optimal operation of a full-scale integrated multiple constructed wetland-pond system,10.1016/j.scitotenv.2022.161219,IMCW-P,Palustrine,Emergent,Permanently Flooded,Y,Alkaline,No data,Pumped,Stream/River,4,Wetland,N,Flow through,2013,China,,33.34045704,120.0349571,biweekly,1,5,203,Water,Constant,Constant,Don't report all data (and specify that they're not allowed to) but they have an average and then seasonal across years. I have added the range of %TP removal across seasons,Long-term assessment on performance and seasonal optimal operation of a full-scale integrated multiple constructed wetland-pond system,,52,39.4,IMCW-P,IMCW-P,2
